score_id,performance_id,onset_beat,duration_beat,pitch,voice,beat_period,tempo_bpm,timing,articulation_log,velocity_norm
n1,P02_n0,0.0,3.0,57,3,0.7660258412361145,78.3263393610582,0.0,-0.014154057018458843,0.4330708682537079
n2,P02_n1,0.0,3.0,60,3,0.7660258412361145,78.3263393610582,0.0,-0.014154057018458843,0.4330708682537079
n3,P02_n2,0.0,3.0,64,3,0.7660258412361145,78.3263393610582,0.0,-0.014154057018458843,0.4330708682537079
n0,P00_n0,0.0,1.0,76,1,0.7660258412361145,78.3263393610582,0.0,0.0,0.4724409580230713
n4,P00_n1,1.0,0.5,81,1,0.762820839881897,78.65542846114357,0.0,-2.254561621839457e-07,0.4724409580230713
n5,P00_n2,1.5,0.5,79,1,0.7500002384185791,79.99997456869298,0.0,0.0,0.5039370059967041
n6,P00_n3,2.0,1.0,81,1,0.7532052993774414,79.659556364769,0.0,1.1416717882184457e-07,0.5590550899505615
n8,P02_n3,3.0,3.0,55,3,0.7500004768371582,79.99994913740213,0.0,0.07800202816724777,0.4488188922405243
n9,P02_n4,3.0,3.0,60,3,0.7500004768371582,79.99994913740213,0.0,0.07800202816724777,0.4488188922405243
n10,P02_n5,3.0,3.0,64,3,0.7500004768371582,79.99994913740213,0.0,0.07800202816724777,0.4488188922405243
n7,P00_n4,3.0,0.5,79,1,0.7500004768371582,79.99994913740213,0.0,-4.5862017827857926e-07,0.4881889820098877
n11,P00_n5,3.5,0.5,81,1,0.75,80.0,0.0,4.586203203871264e-07,0.5354330539703369
n12,P00_n6,4.0,1.0,76,1,0.7628207206726074,78.65544075296718,0.0,0.0,0.5275590419769287
n13,P00_n7,5.0,1.0,76,1,0.8621797561645508,69.5910563557105,0.0,0.0,0.4645669162273407
n15,P02_n6,6.0,3.0,53,3,0.7670943140983582,78.21723991074545,0.0,-0.014134434051811695,0.4803149700164795
n16,P02_n7,6.0,3.0,60,3,0.7670943140983582,78.21723991074545,0.0,-0.014134434051811695,0.4803149700164795
n17,P02_n8,6.0,3.0,64,3,0.7670943140983582,78.21723991074545,0.0,-0.014134434051811695,0.4803149700164795
n14,P00_n8,6.0,1.5,74,1,0.7670943140983582,78.21723991074545,0.0,-1.4946677140414977e-07,0.5039370059967041
n18,P00_n9,7.5,0.5,76,1,0.7564105987548828,79.32199799786675,0.0,-2.2736681160040462e-07,0.4960629940032959
n19,P00_n10,8.0,0.5,79,1,0.75,80.0,0.0,4.586203203871264e-07,0.5590550899505615
n20,P00_n11,8.5,0.5,74,1,0.75,80.0,0.0,4.586203203871264e-07,0.4960629940032959
n22,P02_n9,9.0,0.5,52,3,0.75,80.0,0.0,4.586203203871264e-07,0.3700787425041199
n21,P00_n12,9.0,0.5,76,1,0.75,80.0,0.0,4.586203203871264e-07,0.5275590419769287
n24,P02_n10,9.5,0.5,60,3,0.7884626388549805,76.09745477240757,0.0,-1.526869027657085e-06,0.4330708682537079
n23,P00_n13,9.5,0.5,69,1,0.7884626388549805,76.09745477240757,0.0,-1.526869027657085e-06,0.4409448802471161
n26,P02_n11,10.0,2.0,59,3,0.8621795177459717,69.59107559973154,0.0,3.9894854353406117e-07,0.4251968562602997
n25,P00_n14,10.0,2.0,68,1,0.8621795177459717,69.59107559973154,0.0,3.9894854353406117e-07,0.3937007784843445
n28,P02_n12,12.0,0.5,53,3,0.7692317962646484,77.9998958589037,0.0,-1.4532521390719921e-06,0.36220473051071167
n27,P00_n15,12.0,1.0,81,1,0.7692317962646484,77.9998958589037,0.0,-0.006025336682796478,0.5275590419769287
n29,P02_n13,12.5,0.5,57,3,0.7628211975097656,78.65539158569578,0.0,-9.018244782055262e-07,0.4330708682537079
n31,P02_n14,13.0,2.0,64,3,0.7564105987548828,79.32199799786675,0.0,-2.2736681160040462e-07,0.5590550899505615
n30,P00_n16,13.0,0.5,84,1,0.7564105987548828,79.32199799786675,0.0,-2.2736681160040462e-07,0.5826771855354309
